id,cuisine,ingredients
10259,greek,"['tomatoes', 'seasoning', 'pepper', 'lettuce', 'garlic', 'onion', 'cheese', 'olives', 'beans']"
25693,american,"['tomatoes', 'pepper', 'salt', 'thyme', 'milk', 'oil', 'corn', 'flour', 'eggs']"
22213,indian,"['wheat', 'salt', 'water', 'oil']"
13162,indian,"['chicken', 'lemon', 'pepper', 'onions', 'garlic', 'shallots', 'salt', 'water', 'cornflour', 'masa', 'chili', 'cumin', 'milk', 'cream', 'butter', 'oil', 'passata']"
42779,spanish,"['chorizo', 'steak', 'pepper', 'garlic', 'salt', 'shrimp', 'chili', 'parsley', 'oil', 'vinegar', 'cilantro']"
3735,italian,"['sugar', 'berries', 'nuts', 'extract', 'vanilla', 'oil', 'flour', 'eggs']"
16903,mexican,"['pineapple', 'tortillas', 'pepper', 'pork', 'onion', 'salt', 'lettuce', 'cheese', 'chili', 'lime', 'oil', 'cilantro']"
12734,italian,"['basil', 'tomatoes', 'garlic', 'salt', 'parsley', 'oil']"
5875,italian,"['oregano', 'pepper', 'garlic', 'mushrooms', 'cheese', 'sausages', 'olives', 'oil', 'pimentos']"
45887,chinese,"['turkey', 'wine', 'pepper', 'garlic', 'sugar', 'sauce', 'water', 'scallions', 'ginger', 'oil', 'mustard', 'corn', 'beans']"
2698,italian,"['lemon', 'chipotle', 'pepper', 'garlic', 'salt', 'trout', 'parsley', 'oil', 'walnuts']"
41995,mexican,"['tomatoes', 'steak', 'coriander', 'pepper', 'garlic', 'salt', 'onions', 'chili', 'lime', 'cumin', 'oil', 'avocado', 'cinnamon', 'cilantro']"
31908,italian,"['gnocchi', 'pepper', 'salt', 'cheese', 'milk', 'butter', 'chicken', 'chives', 'flour', 'bacon']"
24717,indian,"['potatoes', 'tomatoes', 'spinach', 'lentils', 'pepper', 'onions', 'tumeric', 'stock', 'naan', 'masa']"
34466,british,"['sugar', 'lemon', 'raspberries']"
1420,italian,"['dressing', 'seasoning', 'mayonaise', 'oil']"
2941,thai,"['chili', 'lime', 'sugar', 'sauce']"
13121,thai,"['basil', 'mint', 'pork', 'peanuts', 'sauce', 'shrimp', 'water', 'rice', 'beansprouts', 'butter', 'cilantro']"
40523,mexican,"['tomatoes', 'onion', 'salt', 'chili', 'lime', 'cilantro']"
40989,american,"['potatoes', 'pepper', 'salt', 'fat', 'mustard', 'eggs']"
29630,chinese,"['broccoli', 'curry', 'pepper', 'arrowroot', 'water', 'sauce', 'tofu', 'ginger', 'oil', 'seeds']"
49136,italian,"['lemon', 'pepper', 'garlic', 'linguine', 'sauce', 'parsley', 'olives', 'oil', 'capers']"
26705,chinese,"['steak', 'pepper', 'noodles', 'salt', 'sugar', 'sauce', 'mushrooms', 'peanuts', 'oil', 'beansprouts', 'chicken', 'cabbage', 'chives']"
27976,american,"['tomatoes', 'mango', 'lemon', 'pepper', 'onions', 'paprika', 'stock', 'oil', 'herbs']"
22087,italian,"['pepper', 'salt', 'mushrooms', 'spaghetti', 'cheese', 'cream', 'sherry', 'butter', 'chicken', 'flour']"
